Company,Content,Operating Status,Description,Funding Status,Website,Last Funding Type,Company Type,Categories
Sibyl Vision,FOUND,active,"Sibyl Vision is the accurate, streamlined way to monitor your social media reputation -- anytime, anywhere. Their revolutionary, patent-pending sentiment-analysis algorithm, developed by Peter Kazazes, drinks from and parses the Twitter firehose, translating millions of brand-relevant tweets into easily actionable metrics that encompass...
Read More",N/A,www.sibylvision.com,N/A,N/A,"apps, psychology, software"
Sifft,FOUND,active,N/A,N/A,gosifft.com/,N/A,N/A,health care
Signal Patterns,FOUND,closed,"Signal Patterns develops psychology-based web and mobile (iPhone) applications that help people improve their well-being and relationship with others. Their products include self and relationship assessments, positive psychology activities and social tools for connecting with like-minded individuals.",seed,www.signalpatterns.com,seed,N/A,"apps, developer tools, ios, market research, mobile, music, psychology"
Simia Service Co,FOUND,active,"Simia Service is an online platform that offers e-commerce services to its clients.
The platform offers online retailing, administrative affairs, and online counselling. The online retailer sells groceries and crafted gifts to its users. The counselling platform offers psychology-based counselling to its users.
Simia Service was launched in 2011...
Read More",N/A,simiaservice.com,N/A,N/A,"consulting, legal, psychology"
Simply Psychology,FOUND,active,"Simply Psychology is a website with articles aimed at psychology students of all educational levels. The sites shares content on topics such as perspectives, behaviorism, biological psychology, cognitive, humanism, psychodynamic perspective, child development, moral development, and psychosexual stages. It also contains information on psychologists...
Read More",N/A,www.simplypsychology.org/,N/A,for profit,psychology
sixty dating,FOUND,active,An over sixty dating portal for those aged sixty years or older. It is free to join and has a searchable database with many variables. Affiliated to white label dating one of the the UK's main dating website providers.,N/A,sixtydating.com/,N/A,N/A,"e-commerce, psychology"
Skema,FOUND,active,"Promoting programming education in the early school system with the Skema-Methodology, based on research from psychology, education and technology.",N/A,www.skema.is,grant,N/A,"education, psychology, secondary education"
Skills Matter,FOUND,active,"Skills Matter is a hyper active, 9 year old startup, sustaining a community of over 35,000 passionate developers in London and some 200,000 world wide. Our mission is to help members in our community learn and share skills to write better software. We do so by staying right on top and ahead of trends. We weed through them and serve the relevant...
Read More",N/A,skillsmatter.com,venture - series unknown,N/A,"architecture, edtech, education, events, internet, software, test and measurement, training, web development"
Sleep and Fatigue Research,FOUND,active,Sleep and Fatigue Research uses a wealth of sleep research to help drivers manage fatigue and prevent accidents on the road.,N/A,safr.org.uk/,venture - series unknown,N/A,public safety
Sleep Center MD,FOUND,active,"Sleep center Maryland: Community based work of physicians and specialties at sleep center Maryland provides a multidisciplinary approach identifying the sleep disorders.
Are you facing whole time tiredness, headaches, chronic pain, decreased concentration and memory? Get in touch with sleep center and do solve sleeping Problems.
Get rid of common...
Read More",N/A,www.sleepcentermd.com/,N/A,N/A,"communities, health care, medical"
Sleep Lab of Central Jersey,FOUND,active,N/A,N/A,N/A,N/A,N/A,health care
Sleep Like Me,FOUND,active,Our product at https://www.amazon.com/dp/B01N1OKVOV,N/A,sleeplikeme.com/,N/A,for profit,"e-commerce, internet"
SleepEffect Center for Apnea Management,FOUND,active,"Dr. J.C.Goodwin, Sleep Specialist at SleepEffect Center for Apnea Management in Prescott Valley, AZ servicing the community of Yavapai County with his excellence in the field of sleep medicines. He provides treatments for sleep apnea, snoring, CPAP alternative treatments and so on. We diagnose the patients with a traditional approach as well as a...
Read More",N/A,www.sleepeffect.com,N/A,N/A,"health care, health diagnostics, medical"
Sleepio,FOUND,active,"Sleepio is an online sleep improvement programme that is clinically proven to be many times more effective than sleeping pills. Co-Founded by ex-insomnia-sufferer Peter Hames and world sleep expert Professor Colin Espie, Sleepio is now on sale in Boots pharmacies across the UK.Advisors includes Martha Lane Fox (UK Digital Champion, Co-Founder of...
Read More",seed,www.sleepio.com,seed,for profit,"health care, psychology, web browsers"
SleepIsle,FOUND,active,N/A,N/A,sleepisle.xyz,N/A,for profit,"apps, health care"
Sleeps,NOT FOUND,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SleepSoft,FOUND,active,Sleep Soft LLC is a mobile software development company and has developed excellent softwares for the Android and iOS users. Some of their achievements are Sleep Machin,N/A,sleepsoftllc.com,N/A,N/A,mobile
SlidePick,FOUND,active,"How many times you have promised yourself to sit down an afternoon to organize all those photos from your vacation trip?
SlidePick is born as a solution to this false promise. We were inspired by the form and structure that our brain use to organize and distribute the constant flow of information that we receive every day. We rely on research...
Read More",N/A,www.slidepick.com,N/A,for profit,"android, ios, mobile, photography"
Smackdab,FOUND,active,Smackdab is falling in love.,N/A,www.smackdab.com,N/A,N/A,"psychology, search engine"
SmallBiz SEO Perth,FOUND,active,"We eat, sleep, breathe, drink, laugh and cry over Local Internet Marketing. We build Long-Term Relationships. We want to work with you for years and watch you and your business grow. You can always get in touch with us when you need to.
Address: 45/17 Ogilvie Rd Mount Pleasant WA 6153",N/A,www.smallbizseo.com.au/perth/,N/A,for profit,internet
SMART Brain Aging,FOUND,active,"We provide aging individuals with a truly research-supported system of brain exercise to mitigate the cognitive and functional decline of dementia through an empirically-validated system of cognitive/functional exercise, found on both a Medicare-reiumbursable Clinic and subscription-based SaaS platform.",N/A,www.smartbrainaging.com,venture - series unknown,for profit,"fitness, health care, medical"
SmartCap,FOUND,active,N/A,N/A,www.smartcaptech.com/,N/A,N/A,"hardware, health care"
SmartSalus,FOUND,active,Le vamos a ofrecer los mejores médicos y los mejores tratamientos médicos en tu ciudad a precio SMART.,N/A,www.smartsalus.com,N/A,for profit,"cosmetic surgery, health care, psychology"
Smartstones,FOUND,active,":prose translates body language into speech.
Sensory interpretation platform that translates body language signals into messaging and speech.
Our api allows us to integrate infinite sensory device types including mems (motion and location), camera vision, touch sensitive interfaces and brain wave sensors such as EEG.
First ever Think to...
Read More",N/A,www.speakprose.com/,N/A,for profit,"augmented reality, hardware, impact investing, internet of things, mobile, software"
Smile Concepts,FOUND,active,"At Smile Concepts in Pitt Street Sydney CBD we offer Implant Dentistry, Cosmetic Dentistry and all areas of General Dentistry.We look at you gums and see if they are bleeding or whether you have loose teeth, gum disease, gingivitis, bad breath. We also look at whether you are suffering from headaches due to bruxism, clenching or grinding....
Read More",N/A,www.smileconcepts.com.au,N/A,N/A,"cosmetics, dental, health care"
SNORE Australia,FOUND,active,SNORE Australia is a provider of overnight sleep studies. The company offers sleep study services focusing on respiratory and neurological disorders that occur during sleep.,m&a,www.snoreaustralia.com.au/,N/A,N/A,health care
Snowdon,FOUND,active,"Snowdon Inc. is a pharmaceutical company that is focused on three major therapeutic areas with substantial market potential: acute and chronic pain, neurological disorders, and infectious diseases. These medical conditions cause immense suffering, economic hardship, and loss of life among millions of people every day. In each of these therapeutic...
Read More",N/A,snowdonpharma.com/,venture - series unknown,for profit,"marketplace, neuroscience, pharmaceutical"
Society for Neuroscience,FOUND,active,Society For Neuroscience develop mobile applications that helps in advancing the understanding of the Brain and Nervous System. They design applications that are compatible with iPads and iPhones. Neuroscience 2012 is one of the interesting applications from SFN.,N/A,www.sfn.org,N/A,N/A,search engine
"SOFIA Labs, LLC",FOUND,active,"SOFIA's Landscape EXplorer (LEX) will be a cloud-based SaaS, providing a 24/7 personal trainer to boost one's actionable metaskills: (1) portable (not attached to a job), (2) universal (applicable to any cognitive challenge), (3) critical (economically essential - STEM, Biz, Finance etc.)
The LEX SaaS can serve individuals (B2C),...
Read More",seed,N/A,seed,for profit,"artificial intelligence, corporate training, education"
Solace Lifesciences,FOUND,active,Solace Lifesciences is a neuroscience company and innovator in solving one of the world's most problems – stress.,N/A,www.nucalm.com,debt financing,for profit,"dental, medical, neuroscience"
Solaricle,FOUND,active,"We at Solaricle share a belief of a future where we use smart and sustainable products.
According to us the way humans live determines fate of our planet, weather it is Earth, Mars or any other planet we think of living in, we would still need products and services which are designed & pursued in smart and sustainable manner.
We believe...
Read More",N/A,N/A,N/A,for profit,"analytics, artificial intelligence, communities, drones"
SOMA Analytics,FOUND,active,"SOMA Analytics' flagship product is Kelaa, a mobile phone application that measures and analyzes the effects of psychological stress and provides you with a 14 day program to improve your mental resilience. The technology combines aspects from psychology and medicine with machine learning and hardware.
Mental resilience is your ability to...
Read More",m&a,www.soma-analytics.com,venture - series unknown,N/A,"mhealth, psychology"
Somnium Lab,FOUND,active,N/A,N/A,somniumlab.net/,N/A,for profit,health care
Somnowire,FOUND,active,N/A,N/A,N/A,N/A,N/A,"health care, medical"
sones,FOUND,closed,"sones went into bankruptcy on January 1, 2012: http://www.sones.de/web/sones/home
sones developed in stealthmode a disruptive new data handling system for your Digital Universe- The Internet. It brings you back the control about what others do with your data, with a new access layer, database and filesystem. With the...
Read More",early stage venture,www.sones.com,series a,N/A,"cloud computing, enterprise software, internet, search engine, software"
Sonovum,FOUND,active,"Sonovum specializes in ultrasound brain monitoring. Currently, we are the only company worldwide to be able to non-invasively monitor minuscule changes in the cellular and molecular structure of brain tissue. With our newly developed technology, Acoustocerebrography (ACG), we can monitor these changes in acute settings as well as Permanent...
Read More",N/A,www.sonovum.de/,grant,for profit,"health diagnostics, medical device"
Sookmook Future Informatics Foundation,FOUND,active,Sookmook Future Informatics Foundation conducts AI research for firms in the IT and academia industries. It was founded by Young-min Ji.,N/A,sookmook.org,N/A,N/A,"hardware, information technology, internet of things, psychology, robotics, software"
Soothe The Psyche Therapy Inc.,FOUND,active,N/A,N/A,soothethepsyche.com,N/A,N/A,health care
Soterix Medical,FOUND,active,"Soterix Medical develops devices and accessories based on neuromodulation and brain stimulation technologies. The company was founded by Abhishek Datta and is based in New York, the United States.",N/A,soterixmedical.com/,grant,for profit,"medical, medical device, neuroscience"
Soterix Medical,FOUND,active,"Soterix Medical develops devices and accessories based on neuromodulation and brain stimulation technologies. The company was founded by Abhishek Datta and is based in New York, the United States.",N/A,soterixmedical.com/,grant,for profit,"medical, medical device, neuroscience"
South Bay Community Services - Compassion | Outreach | Wellness,FOUND,active,N/A,N/A,southbaycommunityservices.com,N/A,N/A,"communities, health care"
South Carolina National Guard,FOUND,active,N/A,N/A,scguard.com,N/A,N/A,health care
